I (55743) vango_firmware: 270,218
I (55753) vango_firmware: 274,218
I (55763) vango_firmware: 265,214
I (55773) vango_firmware: 270,214
I (55783) vango_firmware: 274,222
I (55793) vango_firmware: 261,210
I (55803) vango_firmware: 270,218
I (55813) vango_firmware: 274,222
I (55823) vango_firmware: 265,210
I (55833) vango_firmware: 270,218
I (55843) vango_firmware: 274,218
I (55853) vango_firmware: 265,214
I (55863) vango_firmware: 265,214
I (55873) vango_firmware: 274,222
I (55883) vango_firmware: 265,210
I (55893) vango_firmware: 270,218
I (55903) vango_firmware: 274,218
I (55913) vango_firmware: 261,214
I (55923) vango_firmware: 270,214
I (55933) vango_firmware: 274,222
I (55943) vango_firmware: 265,210
I (55953) vango_firmware: 270,218
I (55963) vango_firmware: 265,214
I (55973) vango_firmware: 274,218
I (55983) vango_firmware: 265,214
I (55993) vango_firmware: 274,218
I (56003) vango_firmware: 265,214
I (56013) vango_firmware: 270,218
I (56023) vango_firmware: 270,218
I (56033) vango_firmware: 270,214
I (56043) vango_firmware: 270,218
I (56053) vango_firmware: 274,218
I (56063) vango_firmware: 261,214
I (56073) vango_firmware: 270,218
I (56083) vango_firmware: 274,218
I (56093) vango_firmware: 265,214
I (56103) vango_firmware: 270,218
I (56113) vango_firmware: 274,222
I (56123) vango_firmware: 261,214
I (56133) vango_firmware: 270,214
I (56143) vango_firmware: 274,222
I (56153) vango_firmware: 265,210
I (56163) vango_firmware: 270,218
I (56173) vango_firmware: 274,222
I (56183) vango_firmware: 261,210
I (56193) vango_firmware: 270,218
I (56203) vango_firmware: 274,222
I (56213) vango_firmware: 265,214
I (56223) vango_firmware: 270,214
I (56233) vango_firmware: 274,222
I (56243) vango_firmware: 265,214
I (56253) vango_firmware: 270,218
I (56263) vango_firmware: 274,222
I (56273) vango_firmware: 261,210
I (56283) vango_firmware: 270,218
I (56293) vango_firmware: 270,214
I (56303) vango_firmware: 270,218
I (56313) vango_firmware: 270,214
I (56323) vango_firmware: 274,222
I (56333) vango_firmware: 265,210
I (56343) vango_firmware: 265,214
I (56353) vango_firmware: 270,218
I (56363) vango_firmware: 270,218
I (56373) vango_firmware: 270,214
I (56383) vango_firmware: 274,222
I (56393) vango_firmware: 265,210
I (56403) vango_firmware: 265,218
I (56413) vango_firmware: 270,214
I (56423) vango_firmware: 270,214
I (56433) vango_firmware: 270,214
I (56443) vango_firmware: 274,222
I (56453) vango_firmware: 265,210
I (56463) vango_firmware: 270,214
I (56473) vango_firmware: 265,218
I (56483) vango_firmware: 270,214
I (56493) vango_firmware: 270,214
I (56503) vango_firmware: 274,222
I (56513) vango_firmware: 265,210
I (56523) vango_firmware: 270,214
I (56533) vango_firmware: 274,218
I (56543) vango_firmware: 261,210
I (56553) vango_firmware: 270,214
I (56563) vango_firmware: 274,222
I (56573) vango_firmware: 265,205
I (56583) vango_firmware: 270,214
I (56593) vango_firmware: 265,210
I (56603) vango_firmware: 270,214
I (56613) vango_firmware: 270,210
I (56623) vango_firmware: 274,218
I (56633) vango_firmware: 261,205
I (56643) vango_firmware: 270,214
I (56653) vango_firmware: 274,214
I (56663) vango_firmware: 265,205
I (56673) vango_firmware: 265,214
I (56683) vango_firmware: 278,214
I (56693) vango_firmware: 261,205
I (56703) vango_firmware: 270,214
I (56713) vango_firmware: 274,218
I (56723) vango_firmware: 261,205
I (56733) vango_firmware: 274,210
I (56743) vango_firmware: 274,214
I (56753) vango_firmware: 261,205
I (56763) vango_firmware: 270,210
I (56773) vango_firmware: 274,214
I (56783) vango_firmware: 261,201
I (56793) vango_firmware: 270,210
I (56803) vango_firmware: 270,205
I (56813) vango_firmware: 270,210
I (56823) vango_firmware: 270,205
I (56833) vango_firmware: 274,214
I (56843) vango_firmware: 261,197
I (56853) vango_firmware: 270,210
I (56863) vango_firmware: 270,205
I (56873) vango_firmware: 265,205
I (56883) vango_firmware: 270,205
I (56893) vango_firmware: 278,210
I (56903) vango_firmware: 261,201
I (56913) vango_firmware: 270,210
I (56923) vango_firmware: 270,205
I (56933) vango_firmware: 265,205
I (56943) vango_firmware: 270,201
I (56953) vango_firmware: 278,214
I (56963) vango_firmware: 261,201
I (56973) vango_firmware: 270,205
I (56983) vango_firmware: 274,210
I (56993) vango_firmware: 261,201
I (57003) vango_firmware: 270,205
I (57013) vango_firmware: 278,218
I (57023) vango_firmware: 261,201
I (57033) vango_firmware: 265,205
I (57043) vango_firmware: 278,210
I (57053) vango_firmware: 261,201
I (57063) vango_firmware: 270,205
I (57073) vango_firmware: 274,210
I (57083) vango_firmware: 261,197
I (57093) vango_firmware: 270,205
I (57103) vango_firmware: 274,210
I (57113) vango_firmware: 265,197
I (57123) vango_firmware: 270,205
I (57133) vango_firmware: 274,210
I (57143) vango_firmware: 261,201
I (57153) vango_firmware: 270,205
I (57163) vango_firmware: 278,210
I (57173) vango_firmware: 261,201
I (57183) vango_firmware: 265,201
I (57193) vango_firmware: 278,210
I (57203) vango_firmware: 261,197
I (57213) vango_firmware: 270,210
I (57223) vango_firmware: 274,210
I (57233) vango_firmware: 265,197
I (57243) vango_firmware: 265,201
I (57253) vango_firmware: 270,205
I (57263) vango_firmware: 270,205
I (57273) vango_firmware: 265,201
I (57283) vango_firmware: 278,205
I (57293) vango_firmware: 261,197
I (57303) vango_firmware: 265,201
I (57313) vango_firmware: 270,205
I (57323) vango_firmware: 270,201
I (57333) vango_firmware: 270,201
I (57343) vango_firmware: 274,210
I (57353) vango_firmware: 261,197
I (57363) vango_firmware: 270,201
I (57373) vango_firmware: 270,201
I (57383) vango_firmware: 270,201
I (57393) vango_firmware: 270,201
I (57403) vango_firmware: 274,205
I (57413) vango_firmware: 261,197
I (57423) vango_firmware: 270,201
I (57433) vango_firmware: 274,205
I (57443) vango_firmware: 261,197
I (57453) vango_firmware: 270,201
I (57463) vango_firmware: 278,210
I (57473) vango_firmware: 261,197
I (57483) vango_firmware: 270,197
I (57493) vango_firmware: 274,205
I (57503) vango_firmware: 261,192
I (57513) vango_firmware: 270,197
I (57523) vango_firmware: 274,205
I (57533) vango_firmware: 261,192
I (57543) vango_firmware: 270,197
I (57553) vango_firmware: 278,205
I (57563) vango_firmware: 261,192
I (57573) vango_firmware: 265,197
I (57583) vango_firmware: 270,201
I (57593) vango_firmware: 270,197
I (57603) vango_firmware: 270,201
I (57613) vango_firmware: 278,205
I (57623) vango_firmware: 261,197
I (57633) vango_firmware: 270,197
I (57643) vango_firmware: 265,197
I (57653) vango_firmware: 270,201
I (57663) vango_firmware: 270,201
I (57673) vango_firmware: 278,201
I (57683) vango_firmware: 257,188
I (57693) vango_firmware: 270,201
I (57703) vango_firmware: 270,197
I (57713) vango_firmware: 270,197
I (57723) vango_firmware: 270,197
I (57733) vango_firmware: 274,201
I (57743) vango_firmware: 261,192
I (57753) vango_firmware: 270,197
I (57763) vango_firmware: 274,205
I (57773) vango_firmware: 261,188
I (57783) vango_firmware: 270,197
I (57793) vango_firmware: 278,201
I (57803) vango_firmware: 261,188
I (57813) vango_firmware: 270,197
I (57823) vango_firmware: 274,205
I (57833) vango_firmware: 261,184
I (57843) vango_firmware: 270,197
I (57853) vango_firmware: 278,205
I (57863) vango_firmware: 261,188
I (57873) vango_firmware: 270,192
I (57883) vango_firmware: 274,201
I (57893) vango_firmware: 261,188
I (57903) vango_firmware: 270,197
I (57913) vango_firmware: 274,205
I (57923) vango_firmware: 261,188
I (57933) vango_firmware: 270,192
I (57943) vango_firmware: 278,197
I (57953) vango_firmware: 257,184
I (57963) vango_firmware: 270,197
I (57973) vango_firmware: 270,188
I (57983) vango_firmware: 270,192
I (57993) vango_firmware: 265,188
I (58003) vango_firmware: 278,192
I (58013) vango_firmware: 261,188
I (58023) vango_firmware: 270,188
I (58033) vango_firmware: 265,188
I (58043) vango_firmware: 270,188
I (58053) vango_firmware: 270,188
I (58063) vango_firmware: 278,197
I (58073) vango_firmware: 261,184
I (58083) vango_firmware: 270,188
I (58093) vango_firmware: 265,184
I (58103) vango_firmware: 270,188
I (58113) vango_firmware: 270,192
I (58123) vango_firmware: 278,192
I (58133) vango_firmware: 261,180
I (58143) vango_firmware: 270,188
I (58153) vango_firmware: 274,192
I (58163) vango_firmware: 261,180
I (58173) vango_firmware: 270,188
I (58183) vango_firmware: 278,192
I (58193) vango_firmware: 257,180
I (58203) vango_firmware: 270,192
I (58213) vango_firmware: 278,192
I (58223) vango_firmware: 257,184
I (58233) vango_firmware: 270,184
I (58243) vango_firmware: 278,197
I (58253) vango_firmware: 261,180
I (58263) vango_firmware: 270,188
I (58273) vango_firmware: 278,197
I (58283) vango_firmware: 261,180
I (58293) vango_firmware: 265,188
I (58303) vango_firmware: 278,192
I (58313) vango_firmware: 261,184
I (58323) vango_firmware: 270,188
I (58333) vango_firmware: 278,192
I (58343) vango_firmware: 261,180
I (58353) vango_firmware: 270,188
I (58363) vango_firmware: 274,197
I (58373) vango_firmware: 261,184
I (58383) vango_firmware: 270,184
I (58393) vango_firmware: 278,192
I (58403) vango_firmware: 261,180
I (58413) vango_firmware: 265,188
I (58423) vango_firmware: 278,192
I (58433) vango_firmware: 261,175
I (58443) vango_firmware: 270,188
I (58453) vango_firmware: 278,192
I (58463) vango_firmware: 261,180
I (58473) vango_firmware: 265,184
I (58483) vango_firmware: 270,184
I (58493) vango_firmware: 270,188
I (58503) vango_firmware: 270,184
I (58513) vango_firmware: 278,197
I (58523) vango_firmware: 261,180
I (58533) vango_firmware: 265,184
I (58543) vango_firmware: 270,180
I (58553) vango_firmware: 270,184
I (58563) vango_firmware: 270,188
I (58573) vango_firmware: 278,188
I (58583) vango_firmware: 261,175
I (58593) vango_firmware: 270,184
I (58603) vango_firmware: 265,180
I (58613) vango_firmware: 270,184
I (58623) vango_firmware: 270,184
I (58633) vango_firmware: 278,188
I (58643) vango_firmware: 257,175
