time(ms), left_angle(rad), right_angle(rad), theta(rad), x(m), y(m)
7245,62.163147,61.99709,-0.036283363,1.3960094,-0.045459352
7265,62.3292,62.163147,-0.036283363,1.3997432,-0.045594886
7285,62.504234,62.342667,-0.03530339,1.4037294,-0.045736693
7305,62.683754,62.51321,-0.037264165,1.4076651,-0.045879543
7325,62.863274,62.69273,-0.037264165,1.4117016,-0.046030022
7345,63.038303,62.86776,-0.037264165,1.415637,-0.04617674
7365,63.217823,63.05177,-0.036283363,1.4197239,-0.046328098
7385,63.397343,63.2268,-0.037264165,1.4237099,-0.046473745
7405,63.572376,63.40632,-0.036284193,1.4276959,-0.04661941
7425,63.751892,63.58584,-0.036284193,1.4317323,-0.046765935
7445,63.926926,63.765358,-0.035304222,1.4357183,-0.04690967
7465,64.106445,63.949364,-0.03432425,1.4398054,-0.04705302
7485,64.28148,64.1244,-0.03432425,1.4437413,-0.047188174
7505,64.461,64.30392,-0.03432425,1.4477782,-0.047326792
7525,64.64052,64.48792,-0.03334428,1.4518656,-0.04746416
7545,64.815544,64.66296,-0.03334428,1.4558015,-0.047595453
7565,64.99506,64.842476,-0.03334428,1.4598384,-0.047730114
7585,65.17458,65.01751,-0.034322582,1.4638249,-0.047864
7605,65.34962,65.19703,-0.03334261,1.4678113,-0.047997944
7625,65.52914,65.37655,-0.03334261,1.4718482,-0.048134573
7645,65.70866,65.551575,-0.034324247,1.4758346,-0.048268497
7665,65.888176,65.731094,-0.034324247,1.4798715,-0.048407115
7685,66.067696,65.90613,-0.03530422,1.4838579,-0.048546936
7705,66.24273,66.08116,-0.03530422,1.4877937,-0.048685946
7725,66.42225,66.26068,-0.03530422,1.4918303,-0.04882852
7745,66.59728,66.435715,-0.03530422,1.4957662,-0.04896753
7765,66.78129,66.615234,-0.03628419,1.4998533,-0.04911289
7785,66.95632,66.79026,-0.036285855,1.5037888,-0.049257684
7805,67.13584,66.965294,-0.037265826,1.5077748,-0.04940532
7825,67.31536,67.14481,-0.037265826,1.5118113,-0.04955581
7845,67.49039,67.31536,-0.038245797,1.5156962,-0.04970349
7865,67.66991,67.49488,-0.038245797,1.5197324,-0.049857933
7885,67.84494,67.6744,-0.037265826,1.5237181,-0.05000949
7905,68.01997,67.84943,-0.037265826,1.5276536,-0.050156213
7925,68.19949,68.028946,-0.037265826,1.53169,-0.0503067
7945,68.37453,68.20398,-0.037265826,1.5356256,-0.05045343
7965,68.55405,68.387985,-0.036285855,1.5397124,-0.050602812
7985,68.72907,68.567505,-0.03530422,1.5436984,-0.050746553
8005,68.904106,68.747025,-0.034324247,1.5476848,-0.050884407
8025,69.08811,68.926544,-0.03530422,1.551772,-0.05102774
8045,69.263145,69.10158,-0.03530422,1.5557079,-0.05116482
8065,69.442665,69.28558,-0.034324247,1.5597951,-0.05130619
8085,69.6177,69.46062,-0.034324247,1.5637311,-0.051441345
8105,69.792725,69.64014,-0.03334261,1.5677174,-0.05157727
8125,69.97674,69.81966,-0.034324247,1.5718049,-0.051716596
8145,70.151764,69.9902,-0.035305884,1.5756903,-0.051850967
8165,70.33128,70.169716,-0.035305884,1.5797269,-0.05199354
8185,70.50632,70.34475,-0.035305884,1.5836627,-0.052132554
8205,70.68584,70.51978,-0.036285855,1.5876489,-0.052276284
8225,70.86536,70.6993,-0.036285855,1.5916853,-0.052422814
8245,71.04039,70.87434,-0.036285855,1.5956209,-0.052565683
8265,71.21991,71.053856,-0.036285855,1.5996573,-0.052712213
8285,71.39943,71.22888,-0.03726749,1.6036433,-0.05285787
8305,71.57446,71.403915,-0.03726749,1.6075789,-0.053004604
8325,71.75398,71.583435,-0.03726749,1.6116153,-0.053155098
8345,71.9335,71.75847,-0.038247462,1.6156013,-0.05330467
